Date,RMSE,MAE,Number_of_Stocks,Turnover
2024-03-11,0.06022472100914601,0.048044914801267394,15,0.771584908929104
2024-04-12,0.05920154319454855,0.04734808230257871,15,0.38165497570754303
2024-05-15,0.05747443514691199,0.046128927509916595,15,0.775913954151834
2024-06-14,0.056376960198106126,0.044951402155440474,15,0.8322119176093293
2024-07-16,0.0567130250132147,0.045406208329973365,15,0.6980016325140052
2024-08-16,0.05537143643574741,0.044240357797245146,15,0.6343111566862246
2024-09-16,0.05520575202373894,0.04400130740140285,15,0.6560364252057016
2024-10-16,0.05648422221590079,0.04479927275547086,15,0.4145498084422319
2024-11-14,0.05712969740710149,0.04523637494607095,15,0.4934283908134256
2024-12-17,0.057510975024850655,0.0455400145610294,15,1.1367261573594094
2025-01-16,0.05799755700279853,0.04586803358941981,15,0.4567551454024066
2025-02-13,0.059151945399070247,0.0468482092658741,15,0.3749707548975114
2025-03-18,0.060354531634031046,0.04755191020577169,15,0.5352106262064689
2025-04-22,0.06060597012219157,0.04775703707966831,15,0.7759683128164648
2025-05-22,0.060541808325063236,0.04748773825266725,15,0.5129595134609357
2025-06-20,0.06023814935410812,0.04709823299781103,15,0.4931353867725041
2025-07-21,0.0602617042497426,0.04727643431340751,15,0.5562305270194328
2025-08-20,0.05949793328677909,0.04663357608446844,15,0.6305869829248663
2025-09-19,0.059474317003813656,0.04650768053140774,15,0.18056181107550495
2025-10-21,0.05917961537607393,0.04611769826994217,15,0.7037793112946462
2025-11-21,0.05896169348687173,0.04595884475292465,15,0.4753651089794984
2025-12-22,0.058550239598532026,0.04555651839579662,15,0.8271255166106664
2026-01-21,0.058615693672629296,0.0456725228126711,15,0.5267220026911092
2026-02-20,0.05848415088496239,0.04535550986026209,15,0.6165271400807792
2026-03-24,0.05925417182288894,0.04604067790159549,15,1.2086478926045152
2026-04-28,0.06014533433500296,0.04658795881920613,15,0.751673622450775
2026-05-27,0.060339338001370105,0.04666789197707636,15,0.5895742541268
2026-06-25,0.060255247444894015,0.046661172449620966,15,0.45395064540772023
