Date,RMSE,MAE,Number_of_Stocks,Turnover
2025-08-20,0.05402822808388593,0.04187683120047839,15,0.9307833341459063
2025-09-19,0.054102739594142815,0.041897369565365265,15,0.6613528241546504
2025-10-21,0.05335411548808075,0.04128433675133916,15,0.962642395874602
2025-11-21,0.053472310422776524,0.041517269549882996,15,0.67564184325172
2025-12-22,0.05319665047193395,0.04132646921609891,15,0.9787321476173799
2026-01-21,0.05329574953954139,0.04139454337476451,15,0.9081124548949124
2026-02-20,0.053607616260873174,0.04146545949217248,15,1.0487079017815857
2026-03-24,0.05439921029731674,0.04203944672991394,15,1.3208093569752777
2026-04-28,0.0549326440539068,0.04234805754433992,15,0.6647824143648309
2026-05-27,0.055279476823518865,0.04267821333629456,15,0.49047448467697874
2026-06-25,0.05509331230142965,0.04254338761914908,15,0.45694344836646045
